epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7004,1.47713,1.88423,1.29769,0.60013,0.43055,0.45535,0.27229,1.43892,1.66989,1.26293,0.0672,0.000331313,0.000331313
2,31.1501,1.42785,1.62848,1.28828,0.58524,0.51981,0.56458,0.32919,1.44336,1.4312,1.22358,0.0341998,0.000664484,0.000664484
3,44.7569,1.43023,1.54036,1.30533,0.60061,0.58478,0.62578,0.37758,1.40404,1.28082,1.22333,0.00119903,0.000997005,0.000997005
4,58.2815,1.43615,1.46194,1.32402,0.68163,0.61571,0.67126,0.39812,1.40851,1.2243,1.23722,0.000997803,0.000997803,0.000997803
5,71.9123,1.40096,1.35128,1.31049,0.72521,0.63438,0.71136,0.43019,1.40228,1.12686,1.21716,0.000996097,0.000996097,0.000996097
6,85.22,1.3632,1.2776,1.28144,0.73366,0.68856,0.76439,0.46176,1.38689,1.0886,1.20609,0.000993906,0.000993906,0.000993906
7,98.3972,1.36362,1.23642,1.27262,0.7761,0.70146,0.79442,0.45296,1.44304,1.02826,1.23788,0.000991232,0.000991232,0.000991232
8,111.839,1.35807,1.20488,1.26661,0.83879,0.72238,0.81722,0.49837,1.36767,0.96501,1.22961,0.000988079,0.000988079,0.000988079
9,126.123,1.3239,1.16549,1.26481,0.82311,0.7554,0.84022,0.4958,1.38278,0.97339,1.22789,0.000984449,0.000984449,0.000984449
10,140.34,1.33932,1.15982,1.26249,0.82568,0.7757,0.84434,0.51159,1.3553,0.90786,1.2111,0.000980345,0.000980345,0.000980345
11,154.364,1.31563,1.09775,1.25412,0.80159,0.75586,0.8239,0.50299,1.372,0.9364,1.23481,0.000975773,0.000975773,0.000975773
12,167.46,1.32532,1.1182,1.26218,0.84106,0.78805,0.8641,0.52515,1.3524,0.91014,1.20292,0.000970736,0.000970736,0.000970736
13,181.209,1.30385,1.06355,1.2521,0.86088,0.76428,0.85454,0.52401,1.33467,0.88043,1.20467,0.000965239,0.000965239,0.000965239
14,195.212,1.27825,1.02228,1.22892,0.84237,0.81575,0.86826,0.53932,1.32952,0.86308,1.18669,0.000959289,0.000959289,0.000959289
