epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6802,1.25709,1.00599,1.21845,0.87692,0.77443,0.86436,0.53265,1.35412,0.87771,1.22154,0.0673976,0.000329317,0.000329317
2,21.2525,1.24835,0.96802,1.21149,0.88163,0.79107,0.87914,0.54586,1.33489,0.84518,1.21421,0.0343974,0.000662489,0.000662489
3,30.7848,1.25286,0.97522,1.226,0.85034,0.78092,0.8641,0.53814,1.34086,0.9099,1.19983,0.00139662,0.000995011,0.000995011
4,39.9056,1.25641,0.96294,1.23133,0.85536,0.80972,0.88093,0.53608,1.34021,0.8349,1.20666,0.000997803,0.000997803,0.000997803
5,49.6562,1.26767,0.9736,1.23972,0.89171,0.7808,0.88871,0.56229,1.30041,0.82639,1.20459,0.000996097,0.000996097,0.000996097
6,59.5954,1.24289,0.92954,1.22338,0.87603,0.80906,0.88382,0.54747,1.31626,0.79544,1.21362,0.000993906,0.000993906,0.000993906
7,68.7322,1.26134,0.96593,1.23257,0.85189,0.82528,0.8836,0.55295,1.305,0.79056,1.19511,0.000991232,0.000991232,0.000991232
8,77.9927,1.24339,0.93088,1.21921,0.86711,0.81135,0.87558,0.51763,1.40514,0.8298,1.25508,0.000988079,0.000988079,0.000988079
9,87.4499,1.2354,0.92048,1.21543,0.86542,0.84856,0.89803,0.55209,1.32042,0.79123,1.21449,0.000984449,0.000984449,0.000984449
10,96.8817,1.23323,0.9577,1.21987,0.88718,0.82385,0.9007,0.56302,1.30865,0.76557,1.192,0.000980345,0.000980345,0.000980345
11,106.269,1.21797,0.90421,1.20952,0.89605,0.82964,0.90227,0.55776,1.31145,0.76799,1.22285,0.000975773,0.000975773,0.000975773
12,115.729,1.21217,0.8933,1.21356,0.87127,0.81566,0.88878,0.55543,1.3187,0.77673,1.21167,0.000970736,0.000970736,0.000970736
13,124.982,1.23209,0.92522,1.22344,0.90122,0.82283,0.88871,0.5585,1.31469,0.75413,1.20552,0.000965239,0.000965239,0.000965239
14,134.185,1.20538,0.86033,1.20101,0.92269,0.86276,0.91321,0.55419,1.35308,0.72633,1.21528,0.000959289,0.000959289,0.000959289
15,144.222,1.20431,0.86256,1.20539,0.87639,0.86788,0.91117,0.56739,1.28784,0.74041,1.19027,0.000952889,0.000952889,0.000952889
16,153.881,1.18593,0.83634,1.19404,0.89929,0.84586,0.90946,0.57025,1.30091,0.74092,1.19592,0.000946048,0.000946048,0.000946048
17,163.394,1.20196,0.85078,1.2005,0.89805,0.84917,0.91322,0.57945,1.28461,0.72282,1.18488,0.000938772,0.000938772,0.000938772
18,172.852,1.19808,0.833,1.19987,0.91509,0.85886,0.91311,0.56136,1.33206,0.72541,1.21442,0.000931067,0.000931067,0.000931067
19,182.023,1.19596,0.85496,1.20044,0.90589,0.86282,0.92009,0.57811,1.27881,0.7131,1.19126,0.000922942,0.000922942,0.000922942
20,191.073,1.16938,0.81297,1.18882,0.89664,0.85769,0.91224,0.57886,1.28621,0.71721,1.1917,0.000914405,0.000914405,0.000914405
21,200.695,1.17661,0.81919,1.18292,0.90719,0.86298,0.91871,0.57969,1.2986,0.70636,1.20168,0.000905463,0.000905463,0.000905463
22,210.769,1.16372,0.81395,1.19184,0.90167,0.85454,0.9066,0.55761,1.32395,0.73546,1.21454,0.000896127,0.000896127,0.000896127
23,220.409,1.16977,0.80508,1.18488,0.92285,0.85473,0.91571,0.58244,1.2819,0.69925,1.19302,0.000886404,0.000886404,0.000886404
24,229.75,1.1587,0.79615,1.17506,0.93224,0.8738,0.92538,0.58172,1.31015,0.69832,1.19722,0.000876305,0.000876305,0.000876305
25,239.684,1.17033,0.81167,1.17704,0.91546,0.87092,0.91585,0.57563,1.27457,0.6967,1.19529,0.000865839,0.000865839,0.000865839
26,249.567,1.14171,0.78208,1.16272,0.91531,0.87974,0.92151,0.58313,1.28228,0.68392,1.18364,0.000855018,0.000855018,0.000855018
27,259.711,1.15101,0.77591,1.17064,0.90969,0.87248,0.91881,0.57865,1.30189,0.69031,1.20691,0.000843851,0.000843851,0.000843851
28,269.756,1.13579,0.77113,1.15914,0.89436,0.87098,0.91588,0.56619,1.31197,0.69253,1.19586,0.000832349,0.000832349,0.000832349
29,278.757,1.13785,0.84162,1.17904,0.8923,0.88665,0.92182,0.58273,1.28234,0.67947,1.19133,0.000820525,0.000820525,0.000820525
30,288.123,1.14177,0.79759,1.163,0.90892,0.85118,0.91213,0.57567,1.29769,0.67907,1.205,0.000808389,0.000808389,0.000808389
31,297.593,1.12837,0.75713,1.16058,0.92166,0.8637,0.92264,0.5908,1.27642,0.67182,1.19333,0.000795954,0.000795954,0.000795954
32,306.743,1.12065,0.76581,1.15855,0.91754,0.8668,0.92098,0.58463,1.28737,0.66977,1.20011,0.000783231,0.000783231,0.000783231
33,315.749,1.10657,0.76043,1.15578,0.91896,0.86981,0.92699,0.58856,1.27919,0.6793,1.20501,0.000770234,0.000770234,0.000770234
34,325.011,1.10514,0.73677,1.14118,0.9287,0.87594,0.92628,0.58997,1.272,0.65349,1.18526,0.000756976,0.000756976,0.000756976
35,334.179,1.11806,0.74634,1.15469,0.93297,0.88296,0.92993,0.58865,1.30422,0.65391,1.19844,0.000743468,0.000743468,0.000743468
36,343.254,1.1159,0.74722,1.15532,0.93387,0.87842,0.93101,0.58621,1.29227,0.65329,1.19148,0.000729725,0.000729725,0.000729725
37,352.454,1.0888,0.71512,1.14214,0.93375,0.89221,0.93223,0.5998,1.25935,0.62942,1.18507,0.000715761,0.000715761,0.000715761
38,361.931,1.09659,0.72783,1.15339,0.92555,0.87797,0.93109,0.5971,1.25858,0.63681,1.17078,0.000701588,0.000701588,0.000701588
39,370.806,1.08858,0.71011,1.14503,0.93406,0.87628,0.92667,0.59191,1.26986,0.63843,1.19475,0.000687222,0.000687222,0.000687222
40,380.337,1.08882,0.73296,1.14763,0.91152,0.88211,0.9211,0.59286,1.26582,0.64043,1.18385,0.000672675,0.000672675,0.000672675
41,390.217,1.0863,0.74005,1.14496,0.93161,0.87976,0.93139,0.59474,1.26855,0.63593,1.17588,0.000657963,0.000657963,0.000657963
42,399.879,1.0889,0.73125,1.13845,0.92579,0.88196,0.92895,0.59841,1.26241,0.62936,1.18786,0.000643101,0.000643101,0.000643101
43,409.726,1.08248,0.71396,1.12752,0.90917,0.8892,0.92677,0.59378,1.27493,0.64186,1.17916,0.000628101,0.000628101,0.000628101
44,420.082,1.06642,0.69494,1.12134,0.93193,0.89903,0.93465,0.59926,1.25505,0.6195,1.17297,0.000612981,0.000612981,0.000612981
45,430.449,1.06152,0.68424,1.12426,0.93306,0.8939,0.9334,0.58542,1.30445,0.62475,1.197,0.000597754,0.000597754,0.000597754
46,440.782,1.07823,0.72453,1.13887,0.93341,0.89641,0.93464,0.60479,1.26014,0.61421,1.17325,0.000582435,0.000582435,0.000582435
47,450.974,1.05649,0.67728,1.11642,0.92077,0.89716,0.93039,0.59657,1.25863,0.61707,1.17299,0.00056704,0.00056704,0.00056704
48,461.212,1.05712,0.68056,1.11258,0.9269,0.89188,0.93339,0.59929,1.25841,0.61848,1.18167,0.000551584,0.000551584,0.000551584
49,471.451,1.05378,0.67067,1.11163,0.92447,0.89417,0.93566,0.59524,1.28012,0.61525,1.19152,0.000536081,0.000536081,0.000536081
